day,Overall_Calories,Overall_Proteins,Overall_Carbs,Overall_Fats,Overall_Fibres,Breakfast_Items,Lunch_Items,Dinner_Items,Pre_workout_snack_Items,Post_workout_snack_Items,Mor_snac_Items,Eve_snack_Items,Breakfast_Serving,Lunch_Serving,Dinner_Serving,Pre_workout_snack_Serving,Post_workout_snack_Serving,Mor_snac_Serving,Eve_snack_Serving,Breakfast_Calories,Lunch_Calories,Dinner_Calories,Pre_workout_snack_Calories,Post_workout_snack_Calories,Mor_snac_Calories,Eve_snack_Calories,Breakfast_Carbs,Lunch_Carbs,Dinner_Carbs,Pre_workout_snack_Carbs,Post_workout_snack_Carbs,Mor_snac_Carbs,Eve_snack_Carbs,Breakfast_Proteins,Lunch_Proteins,Dinner_Proteins,Pre_workout_snack_Proteins,Post_workout_snack_Proteins,Mor_snac_Proteins,Eve_snack_Proteins,Breakfast_Fats,Lunch_Fats,Dinner_Fats,Pre_workout_snack_Fats,Post_workout_snack_Fats,Mor_snac_Fats,Eve_snack_Fats,Breakfast_Fibre,Lunch_Fibre,Dinner_Fibre,Pre_workout_snack_Fibre,Post_workout_snack_Fibre,Mor_snac_Fibre,Eve_snack_Fibre,Type,Region,Condition,Diet,Value
Day 2,2097.5 kcal,92.35 g,281.8 g,69.8 g,57.85 g,Paneer Paratha | Dahi,Daal | Gobi matar sabzi | Wheat Roti | Brown rice,Chicken curry | Carrot tomato salad | Wheat Roti,Apple | Almonds,Moong beans boiled,Pear | Pumpkin seeds | walnuts,Roasted peanuts | Ragi with buttermilk,2 Piece | 1 katori,1 bowl | 1 katori | 2 roti | 1 katori,1 katori | 1 katori | 3 roti,1 piece | 6 almond,1 katori,1 piece | 1 tbsp | 6 piece,0.5 serving | 1 glass,448 | 90,116 | 82 | 170 | 109,163 | 27 | 255,42,138,52 | 84,85.5 | 71,48.2 | 4.5,18.7 | 7 | 34.8 | 22.8,4.6 | 5.4 | 52.2,88 | 1.8,23.4,77 | 1.3 | 1.2,4 | 14.3,18.4 | 4.7,7.2 | 2.7 | 6 | 2.4,17.9 | 0.9 | 9,20 | 1.8,9.9,17.6 | 2.7 | 1.8,3.95 | 1.8,21.8 | 6,1.4 | 5 | 0.8 | 0.9,7.7 | 0.2 | 1.2,0.3 | 3.6,0.5,0.9 | 4.4 | 8.4,6 | 0.8,7.6 | 0,3.1 | 3.4 | 5.4 | 1,1.7 | 2.5 | 8.1,0.8 | 1.2,6.9,0.3 | 0.6 | 1.2,1.65 | 2.3,Weight Gain,North Indian,Thyroid,Non Veg,2100
Day 3,2094 kcal,94.6 g,273.6 g,73.5 g,45.8 g,Boiled Egg | Peas poha,Gavar sabzi | Jowar roti | Dahi | Mix daal | Carrot tomato salad,Dahi | Dal Khichadi | Green salad,Papaya smoothie | Chia seeds,Egg white,Coconut water | Almonds | Cashew Nuts,Chickpea vegetable salad,2 Egg | 2 katori,1 katori | 3 piece | 1 katori | 1 katori | 1 katori,1 katori | 2 Bowl | 1 katori,1 glass | 1 tbsp,boiled,1 piece | 6 almond | 6 Piece,2 katori,172 | 280,65 | 249 | 90 | 149 | 27,90 | 346 | 60,148 | 47,4 piece,49 | 42 | 48,164,2 | 55.8,4.7 | 53.4 | 4.5 | 22.4 | 5.4,4.5 | 57.2 | 2.8,18.3 | 4.1,68,9.1 | 1.8 | 1.8,25,13.2 | 6,2.6 | 5.4 | 4.7 | 8.7 | 0.9,4.7 | 13.2 | 1.4,5.3 | 1.6,0.8,2.9 | 1.8 | 1.8,6,13.2 | 4,3.8 | 2.4 | 6 | 2.9 | 0.2,6 | 7.2 | 4.8,6.2 | 3,14.4,0.2 | 3.6 | 4.2,5,0 | 2.2,3.6 | 4.5 | 0 | 6 | 2.5,0 | 7 | 1.7,2.3 | 3.3,0.8,2.3 | 1.2 | 0,9.2,Weight Gain,North Indian,Thyroid,Non Veg,2100
Day 4,2097 kcal,92.5 g,282.5 g,70.8 g,51.4 g,Wheat Roti | Egg bhurji,Carrot cucumber salad | Wheat Roti | Chicken curry | Daal | Brown rice,Bajra roti | Chana lobia curry | Carrot tomato salad,Chia seeds | walnuts | Apple smoothie,Sprouts,Watermelon | Almonds | Cashew Nuts,Makhana | Ragi with buttermilk,2 roti | 2 one,1 katori | 2 roti | 1 katori | 1 bowl | 1 katori,2 piece | 1 katori | 1 katori,1 tbsp | 6 piece | 1 glass,2 Katori,1 cup | 6 almond | 6 Piece,1 katori | 1 glass,170 | 304,21 | 170 | 163 | 116 | 109,226 | 171 | 27,47 | 84 | 145,48,42 | 48,111 | 71,34.8 | 9.6,4.9 | 34.8 | 4.6 | 18.7 | 22.8,38.2 | 24.3 | 5.4,4.1 | 1.2 | 22,9.6,24 | 1.8 | 1.8,24.6 | 14.3,6 | 15.2,0.7 | 6 | 17.9 | 7.2 | 2.4,6.6 | 9 | 0.9,1.6 | 1.8 | 3.6,4.8,5 | 1.8 | 1.8,3.1 | 1.8,0.8 | 23.8,0.1 | 0.8 | 7.7 | 1.4 | 0.9,5.2 | 4.3 | 0.2,3 | 8.4 | 4.9,0.4,0.3 | 3.6 | 4.2,0 | 0.8,5.4 | 2.6,1.1 | 5.4 | 1.7 | 3.1 | 1,6.4 | 4.3 | 2.5,3.3 | 1.2 | 1.6,2.8,0.3 | 1.2 | 0,4.6 | 2.3,Weight Gain,North Indian,Thyroid,Non Veg,2100
Day 1,1817 kcal,85.9 g,270.8 g,49.5 g,47.6 g,Egg Omelette | Wheat Roti,Wheat Roti | Bhindi Sabzi | Daal | Carrot cucumber salad,Daal | Wheat Roti | Cabbage sabzi | Carrot cucumber salad | Brown rice,Almonds | Cashew Nuts | Pineapple,Garden Chicken Salad with Grilled Chicken - no dressing,Vegetable juice,Roasted chana | Palak Soup,2 Piece | 2 roti,2 roti | 1 Katori | 1 bowl | 1 katori,1 bowl | 1 roti | 1 katori | 1 katori | 1 katori,4 almond | 4 Piece | 3 thin,0.5 gm,1 glass,1 katori | 1 Bowl,208 | 170,170 | 68 | 116 | 21,116 | 85 | 62 | 21 | 109,28 | 32 | 78,175,55,270 | 33,5 | 34.8,34.8 | 7.1 | 18.7 | 4.9,18.7 | 17.4 | 4.7 | 4.9 | 22.8,1.2 | 1.2 | 18.3,8,11.5,46 | 10.8,12 | 6,6 | 1.8 | 7.2 | 0.7,7.2 | 3 | 1.5 | 0.7 | 2.4,1.2 | 1.2 | 0.6,21.5,1.5,9.6 | 1.8,16.2 | 0.8,0.8 | 3.7 | 1.4 | 0.1,1.4 | 0.4 | 4.2 | 0.1 | 0.9,2.4 | 2.8 | 0.3,7,0.3,5.3 | 1.4,0.8 | 5.4,5.4 | 3.1 | 3.1 | 1.1,3.1 | 2.7 | 2.6 | 1.1 | 1,0.8 | 0 | 4.8,1,2,7.2 | 2.4,Weight Gain,North Indian,Thyroid,Non Veg,1800
Day 2,1822 kcal,74.3 g,262.65 g,54.75 g,50 g,Dahi | Paneer Paratha,Daal | Carrot tomato salad | Wheat Roti | Gobi matar sabzi | Brown rice,Wheat Roti | Chicken curry | Carrot cucumber salad,Apple,Tofu,Pear | Pumpkin seeds,Grilled Vegetable Sandwich,1 katori | 1.5 Piece,1 bowl | 1 katori | 1 roti | 1 katori | 1 katori,2 roti | 1 katori | 1 katori,1 piece,1 Piece,1 piece | 1 tbsp,1 Sandwich,90 | 336,116 | 27 | 85 | 82 | 109,170 | 163 | 21,,186,52,220,4.5 | 36.15,18.7 | 5.4 | 17.4 | 7 | 22.8,34.8 | 4.6 | 4.9,88,35,77 | 1.3,32.5,4.7 | 13.8,7.2 | 0.9 | 3 | 2.7 | 2.4,6 | 17.9 | 0.7,20,6.1,17.6 | 2.7,5,6 | 16.35,1.4 | 0.2 | 0.4 | 5 | 0.9,0.8 | 7.7 | 0.1,0.3,2.4,0.9 | 4.4,8,0 | 5.7,3.1 | 2.5 | 2.7 | 3.4 | 1,5.4 | 1.7 | 1.1,0.8,5.2,0.3 | 0.6,6.4,Weight Gain,North Indian,Thyroid,Non Veg,1800
Day 3,1791 kcal,80.55 g,229.5 g,64.7 g,41.15 g,Boiled Egg | Peas poha,Jowar roti | Green salad | Daal | Gavar sabzi | Dahi,Carrot tomato salad | Dahi | Dal Khichadi,Chia seeds | Cashew Nuts | Pineapple,Egg white,Coconut water | Almonds | walnuts,Chickpea vegetable salad,2 Egg | 1.5 katori,2 piece | 1 katori | 1 bowl | 1 katori | 0.5 katori,1 katori | 1 katori | 2 Bowl,1 tbsp | 4 Piece | 4 thin,boiled,1 piece | 4 almond | 6 piece,1 katori,172 | 210,166 | 60 | 116 | 65 | 45,27 | 90 | 346,47 | 32 | 104,4 piece,49 | 28 | 84,82,2 | 41.85,35.6 | 2.8 | 18.7 | 4.7 | 2.25,5.4 | 4.5 | 57.2,4.1 | 1.2 | 24.4,68,9.1 | 1.2 | 1.2,12.5,13.2 | 4.5,3.6 | 1.4 | 7.2 | 2.6 | 2.35,0.9 | 4.7 | 13.2,1.6 | 1.2 | 0.8,0.8,2.9 | 1.2 | 1.8,3,13.2 | 3,1.6 | 4.8 | 1.4 | 3.8 | 3,0.2 | 6 | 7.2,3 | 2.8 | 0.4,14.4,0.2 | 2.4 | 8.4,2.5,0 | 1.65,3 | 1.7 | 3.1 | 3.6 | 0,2.5 | 0 | 7,3.3 | 0 | 6.4,0.8,2.3 | 0.8 | 1.2,4.6,Weight Gain,North Indian,Thyroid,Non Veg,1800
Day 4,1777.5 kcal,87.95 g,260.6 g,44.95 g,57.45 g,Wheat Roti | Masooor Bhaji,Carrot cucumber salad | Wheat Roti | Chicken curry | Brown rice,Bajra roti | Chana lobia curry | Green salad,Almonds | Pomegranate,Boiled kala chana,Cashew Nuts | Mosambi Juice,Clear Chicken Soup,2 roti | 1 Katori,1 katori | 1 roti | 1.5 katori | 1 katori,2 piece | 1 katori | 1 katori,4 almond | 1 cup,1 katori,4 Piece | 1 Glass,1 Katori,170 | 189,21 | 85 | 244.5 | 109,226 | 171 | 60,28 | 144,161,32 | 94,43,34.8 | 24.7,4.9 | 17.4 | 6.9 | 22.8,38.2 | 24.3 | 2.8,1.2 | 32.5,27.2,1.2 | 20.2,1.5,6 | 8.5,0.7 | 3 | 26.85 | 2.4,6.6 | 9 | 1.4,1.2 | 2.9,7.6,1.2 | 1.7,8.9,0.8 | 6.4,0.1 | 0.4 | 11.55 | 0.9,5.2 | 4.3 | 4.8,2.4 | 2,2.4,2.8 | 0.7,0.2,5.4 | 5.6,1.1 | 2.7 | 2.55 | 1,6.4 | 4.3 | 1.7,0.8 | 7,12.6,0 | 5.9,0.4,Weight Gain,North Indian,Thyroid,Non Veg,1800
Day 1,2300.5 kcal,105.55 g,322.55 g,67.95 g,51.55 g,Wheat Roti | Egg Omelette,Carrot cucumber salad | Rasam | Grilled paneer | Plain Rice,Daal | Capsicum lettuce salad | Wheat Roti | Roasted chicken,Granola bar | walnuts | Dates,Egg white,Pear | Almonds | Cashew Nuts | Apple,Makhana | Ragi with buttermilk,2 roti | 2 Piece,1 katori | 2 Katori | 0.5 serving | 2 Katori,1 bowl | 1 katori | 3 roti | 0.5 chicken,1 bar | 6 piece | 1 piece,boiled,1 piece | 6 almond | 6 Piece | 1 piece,2 katori | 1 glass,170 | 208,21 | 130 | 143.5 | 240,116 | 49 | 255 | 107,119 | 84 | 25,5 piece,42 | 48 | ,222 | 71,34.8 | 5,4.9 | 18.4 | 0.9 | 53.4,18.7 | 3.7 | 52.2 | 0.65,16.9 | 1.2 | 6.1,85,77 | 1.8 | 1.8 | 88,49.2 | 14.3,6 | 12,0.7 | 7 | 8.45 | 5.2,7.2 | 1.1 | 9 | 14.2,1.9 | 1.8 | 0.2,1,17.6 | 1.8 | 1.8 | 20,6.2 | 1.8,0.8 | 16.2,0.1 | 3.2 | 11.85 | 0.6,1.4 | 3.7 | 1.2 | 4.9,4.9 | 8.4 | 0,18,0.9 | 3.6 | 4.2 | 0.3,0 | 0.8,5.4 | 0.8,1.1 | 1.8 | 0.25 | 1,3.1 | 1.9 | 8.1 | 0.1,2.2 | 1.2 | 0.7,1,0.3 | 1.2 | 0 | 0.8,9.2 | 2.3,Weight Gain,South Indian,None,Non Veg,2300
Day 2,2307 kcal,94.5 g,282.3 g,90.2 g,42.8 g,Dahi | Tomato Besan Omelette,Green Peas Potato Pulao | Soyabean Curry | Carrot cucumber salad | Wheat Roti,Daal | Wheat Roti | Paneer Burji | Plain Rice,Peanut butter with whole wheat bread,Egg Omelette,Orange | Sunflower seeds,Puffed Rice Chivda | Buttermilk,1 katori | 3 Piece,1 Katori | 1 Katori | 1 katori | 3 roti,1 bowl | 2 roti | 1 Small | 1 Katori,1 slice,2 Piece,1 piece | 1 tbsp,2 Katori | 1 glass,90 | 324,136 | 120 | 21 | 255,116 | 170 | 209 | 120,117,208,54,276 | 45,4.5 | 32.4,25.6 | 7.3 | 4.9 | 52.2,18.7 | 34.8 | 3.2 | 26.7,13,5,46 | 1.6,39.6 | 2.3,4.7 | 12,3.3 | 8.8 | 0.7 | 9,7.2 | 6 | 11.7 | 2.6,5.4,12,10.5 | 1.7,6.4 | 2.3,6 | 15.9,2.3 | 6.2 | 0.1 | 1.2,1.4 | 0.8 | 16.6 | 0.3,5.2,16.2,0.7 | 4.6,10.2 | 3,0 | 6.9,1.7 | 5.3 | 1.1 | 8.1,3.1 | 5.4 | 0.7 | 0.5,2.5,0.8,0.2 | 0.8,4.8 | 0,Weight Gain,South Indian,None,Non Veg,2300
Day 3,2307.5 kcal,97.65 g,311.1 g,78.05 g,48.65 g,Peas poha,Egg dosa,Wheat Roti | Chicken curry | Carrot tomato salad,Oatmeal porridge | Almonds | Cashew Nuts,Boiled sprouted chana,Chiku | walnuts,Roasted chana | Ragi with buttermilk,2 katori,2 katori,3 roti | 1.5 katori | 1 katori,1 katori | 6 almond | 6 Piece,1 katori,1 piece | 6 piece,1 katori | 1 glass,280,626,255 | 244.5 | 27,140 | 42 | 48,161,59 | 84,270 | 71,55.8,69.2,52.2 | 6.9 | 5.4,16.7 | 1.8 | 1.8,27,12.8 | 1.2,46 | 14.3,6,22.8,9 | 26.85 | 0.9,6.2 | 1.8 | 1.8,8.7,0.4 | 1.8,9.6 | 1.8,4,29.6,1.2 | 11.55 | 0.2,5.9 | 3.6 | 4.2,2.6,0.7 | 8.4,5.3 | 0.8,2.2,5.4,8.1 | 2.55 | 2.5,2 | 1.2 | 0,7.5,6.5 | 1.2,7.2 | 2.3,Weight Gain,South Indian,None,Non Veg,2300
Day 4,2289 kcal,94.6 g,284.1 g,89.2 g,47.9 g,Upma | Dahi,Carrot tomato salad | Egg fried rice,Ragi/nachni roti | Aloo matar sabzi | Grilled paneer | Carrot tomato salad,Epigamia plain yoghurt | walnuts | Dates,Banana peanut butter smoothie,Coconut water | Soaked and peeled almonds | Cashew Nuts,Moong beans boiled,2 katori | 1 katori,1 katori | 2 katori,2 roti | 1 katori | 1 serving | 1 katori,1 pack | 6 piece | 4 piece,1 glass,1 piece | 6 almond | 6 Piece,2 katori,342 | 90,27 | 300,174 | 129 | 287 | 27,69 | 84 | 100,239,49 | 48 | 48,276,48.6 | 4.5,5.4 | 37,38.4 | 20 | 1.8 | 5.4,5.6 | 1.2 | 24.4,33.5,9.1 | 0.6 | 1.8,46.8,8.8 | 4.7,0.9 | 8.6,4 | 4 | 16.9 | 0.9,7.2 | 1.8 | 0.8,9.7,2.9 | 1.8 | 1.8,19.8,12.6 | 6,0.2 | 13.8,0.8 | 3.8 | 23.7 | 0.2,2 | 8.4 | 0,8.1,0.2 | 4.2 | 4.2,1,5 | 0,2.5 | 2.2,6.2 | 5.1 | 0.5 | 2.5,0 | 1.2 | 2.8,2.6,2.3 | 1.2 | 0,13.8,Weight Gain,South Indian,None,Non Veg,2300
Day 1,1310 kcal,57.4 g,168.1 g,47.65 g,32.05 g,Oats vegetable chilla | Dahi,Jowar roti | Paneer capsicum sabzi | Carrot tomato salad,Sprouts Salad | Daal | Brown rice,Papaya | walnuts,Epigamia plain yoghurt,Coconut water | Almonds,Moong beans boiled,2 chilla | 1 katori,2 piece | 1.5 katori | 1 katori,1 Katori | 1 bowl | 1 katori,1 cup | 4 piece,1 pack,1 piece | 4 almond,1 katori,194 | 90,166 | 198 | 27,24 | 116 | 109,56,69,49 | 28,138,17.8 | 4.5,35.6 | 7.8 | 5.4,5 | 18.7 | 22.8,46 | 0.8,5.6,9.1 | 1.2,23.4,4.6 | 4.7,3.6 | 9 | 0.9,1.7 | 7.2 | 2.4,10.4 | 1.2,7.2,2.9 | 1.2,9.9,11.6 | 6,1.6 | 14.85 | 0.2,0.2 | 1.4 | 0.9,0.9 | 5.6,2,0.2 | 2.4,0.5,3.6 | 0,3 | 2.85 | 2.5,1.4 | 3.1 | 1,0.2 | 0.8,0,2.3 | 0.8,6.9,Weight Loss,North Indian,Diabetes,Veg,1300
Day 2,1303.5 kcal,57.5 g,189.55 g,38.5 g,39.95 g,Peas poha,Wheat Roti | Gobi matar sabzi | Daal | Dahi,Chana palak curry | Carrot cucumber salad | Bajra roti,Mosambi | Almonds,Boiled soyabean,Pear | Cashew Nuts,Sweet corn and moong dal chaat,1 katori,2 roti | 1 katori | 1 bowl | 1 katori,1 katori | 1 katori | 1.5 piece,1 piece | 4 almond,0.5 cup,1 piece | 4 Piece,1 katori,140,170 | 82 | 116 | 90,129 | 21 | 169.5,29 | 28,148,32,72,27.9,34.8 | 7 | 18.7 | 4.5,17.2 | 4.9 | 28.65,6.2 | 1.2,7.2,77 | 1.2,12.5,3,6 | 2.7 | 7.2 | 4.7,4.9 | 0.7 | 4.95,0.5 | 1.2,15.65,17.6 | 1.2,3.9,2,0.8 | 5 | 1.4 | 6,4.8 | 0.1 | 3.9,0.2 | 2.4,7.7,0.9 | 2.8,1.1,1.1,5.4 | 3.4 | 3.1 | 0,4.9 | 1.1 | 4.8,1.8 | 0.8,5.15,0.3 | 0,2,Weight Loss,North Indian,Diabetes,Veg,1300
Day 3,1299.5 kcal,54 g,192.1 g,38.3 g,41.35 g,Paneer Paratha | Dahi,Peas Pulao | Bhindi Sabzi | Wheat Roti | Tomato cucumber raita,Carrot tomato salad | Ragi/nachni roti | Mix daal,Almonds | walnuts,Moong beans boiled,Fresh fruit salad,Rajma chhole moong sprout salad,1 Piece | 1 katori,1 Katori | 1 Katori | 1 roti | 1 katori,1 katori | 1.5 roti | 1 katori,4 almond | 4 piece,1 katori,1 katori,1 katori,224 | 90,134 | 68 | 85 | 51,27 | 130.5 | 149,28 | 56,138,60,59,24.1 | 4.5,26.1 | 7.1 | 17.4 | 5.5,5.4 | 28.8 | 22.4,1.2 | 0.8,23.4,14,11.4,9.2 | 4.7,4.2 | 1.8 | 3 | 2.5,0.9 | 3 | 8.7,1.2 | 1.2,9.9,0.9,2.8,10.9 | 6,1.5 | 3.7 | 0.4 | 2.4,0.2 | 0.6 | 2.9,2.4 | 5.6,0.5,0.5,0.7,3.8 | 0,2.6 | 3.1 | 2.7 | 1.1,2.5 | 4.65 | 6,0.8 | 0.8,6.9,3.6,2.8,Weight Loss,North Indian,Diabetes,Veg,1300
Day 4,1314 kcal,60.85 g,169.35 g,46.65 g,28.3 g,Upma,Lauki sabzi | Wheat Roti | Dahi | Mix daal,Tomato cucumber raita | Millet and spinach khichdi,Cashew Nuts | Mosambi,Tofu,Carrot beetroot juice | Almonds,Murmura chana peanuts bhel,1 katori,1 katori | 2 roti | 1 katori | 1 katori,1 katori | 1.5 katori,4 Piece | 1 piece,1 serving,1 glass | 4 almond,1 katori,171,50 | 170 | 90 | 149,51 | 105,32 | 29,144,72 | 28,223,24.3,3.7 | 34.8 | 4.5 | 22.4,5.5 | 16.05,1.2 | 6.2,2.8,15.7 | 1.2,31,4.4,0.7 | 6 | 4.7 | 8.7,2.5 | 4.35,1.2 | 0.5,17.3,2.1 | 1.2,7.2,6.3,3.7 | 0.8 | 6 | 2.9,2.4 | 2.55,2.8 | 0.2,8.7,0 | 2.4,7.9,2.5,2.5 | 5.4 | 0 | 6,1.1 | 2.7,0 | 1.8,2.3,1 | 0.8,2.2,Weight Loss,North Indian,Diabetes,Veg,1300
Day 1,2108 kcal,81 g,299 g,69.8 g,56.2 g,Upma,Curd Rice | Grilled Paneer Tikka | Capsicum lettuce salad,Cauliflower palya | Mix daal | Multi grain roti | Carrot cucumber salad,Almonds | Epigamia plain yoghurt | Muskmelon,Boiled sprouted chana,Fresh fruit salad | Cashew Nuts | walnuts,Makhana,2 katori,2 Small | 2 Piece | 1 katori,1 katori | 1 katori | 2 roti | 1 katori,6 almond | 1 pack | 1 cup,2 katori,1 katori | 6 Piece | 6 piece,2 katori,342,268 | 160 | 49,81 | 149 | 164 | 21,42 | 69 | ,322,60 | 48 | 84,222,48.6,42.4 | 5.4 | 3.7,6.6 | 22.4 | 31.8 | 4.9,1.8 | 5.6 | 27,54,14 | 1.8 | 1.2,49.2,8.8,7.4 | 8.4 | 1.1,2.1 | 8.7 | 6.2 | 0.7,1.8 | 7.2 | 5.6,17.4,0.9 | 1.8 | 1.8,6.2,12.6,7.6 | 11.6 | 3.7,5.7 | 2.9 | 1.4 | 0.1,3.6 | 2 | 0.5,5.2,0.5 | 4.2 | 8.4,0,5,1.2 | 1.2 | 1.9,2.3 | 6 | 6 | 1.1,1.2 | 0 | 0.3,15,3.6 | 0 | 1.2,9.2,Weight Gain,South Indian,Cholesterol,Veg,2100
Day 2,2068 kcal,75.4 g,295.6 g,67.9 g,51.5 g,Chana masala | Ragi Dosa,Vegetable soybean stew | Lemon rice,Lauki sabzi | Daal | Ragi/nachni roti | Green salad,Almonds | Cashew Nuts,Epigamia plain yoghurt | Strawberry,Coconut water | Chia seeds | walnuts,Roasted chana,1 katori | 2 Dosa,1 katori | 2 katori,1 katori | 1 bowl | 2 roti | 1 katori,6 almond | 6 Piece,2 pack | 6 medium,1 piece | 1 tbsp | 6 piece,1 katori,188 | 204,232 | 336,50 | 116 | 174 | 60,42 | 48,138 | 30,49 | 47 | 84,270,20.3 | 43.2,25.9 | 60.2,3.7 | 18.7 | 38.4 | 2.8,1.8 | 1.8,11.2 | 7.2,9.1 | 4.1 | 1.2,46,5.7 | 4.4,9.7 | 7.8,0.7 | 7.2 | 4 | 1.4,1.8 | 1.8,14.4 | 0.6,2.9 | 1.6 | 1.8,9.6,9.8 | 1.4,10.1 | 7.2,3.7 | 1.4 | 0.8 | 4.8,3.6 | 4.2,4 | 0,0.2 | 3 | 8.4,5.3,5.2 | 4.4,7.8 | 3.6,2.5 | 3.1 | 6.2 | 1.7,1.2 | 0,0 | 1.8,2.3 | 3.3 | 1.2,7.2,Weight Gain,South Indian,Cholesterol,Veg,2100
Day 3,2093.5 kcal,74.85 g,272.6 g,81 g,48.55 g,Spinach dosa | Tomato chutney,Mix daal | Chana Soyabean Bhaji | Dosa,Paneer masala | Wheat Roti | Carrot tomato salad,Pear | walnuts,Papaya smoothie | Chia seeds,Almonds | Carrot beetroot juice | Cashew Nuts,Roasted peanuts | Ragi with buttermilk,2 medium | 4 tbsp,1 katori | 1 Katori | 3 dosa,1 Small | 2 roti | 1 katori,1 piece | 6 piece,1 glass | 1 tbsp,6 almond | 1 glass | 6 Piece,0.5 serving | 1 glass,366 | 40,149 | 141 | 345,181 | 170 | 27,84,148 | 47,42 | 72 | 48,85.5 | 71,49.6 | 4,22.4 | 11.5 | 59.1,7 | 34.8 | 5.4,77 | 1.2,18.3 | 4.1,1.8 | 15.7 | 1.8,4 | 14.3,11.6 | 0.8,8.7 | 8.3 | 9.6,7.9 | 6 | 0.9,17.6 | 1.8,5.3 | 1.6,1.8 | 2.1 | 1.8,3.95 | 1.8,13.4 | 2.4,2.9 | 7.2 | 7.8,13.8 | 0.8 | 0.2,0.9 | 8.4,6.2 | 3,3.6 | 0 | 4.2,6 | 0.8,8.8 | 2,6 | 2.4 | 0,2.1 | 5.4 | 2.5,0.3 | 1.2,2.3 | 3.3,1.2 | 1 | 0,1.65 | 2.3,Weight Gain,South Indian,Cholesterol,Veg,2100
Day 4,2087 kcal,73.3 g,304.5 g,59 g,58.2 g,Coconut Chutney | Oats rava idli | Brinjal sambhar,Tomato cucumber raita | Soya chunk pulao | Green salad,Daal | Carrot tomato salad | Wheat Roti | Cabbage sabzi,walnuts | Pomegranate,Apple pear oatmeal smoothie,Almonds | Strawberries,Sweet potato | Moong beans boiled,4 Teaspoon | 4 piece | 1 katori,1 katori | 2 katori | 1 katori,1 bowl | 1 katori | 2 roti | 1 katori,6 piece | 1 cup,1 glass,6 almond | 6 piece,1 piece | 1 katori,68 | 296 | 117,51 | 296 | 60,116 | 27 | 170 | 62,84 | 144,235,42 | ,138,2.8 | 46 | 15.9,5.5 | 47.2 | 2.8,18.7 | 5.4 | 34.8 | 4.7,1.2 | 32.5,27.6,1.8 | 30,151 | 23.4,0.8 | 9.6 | 5.5,2.5 | 12.4 | 1.4,7.2 | 0.9 | 6 | 1.5,1.8 | 2.9,6.4,1.8 | 7.2,27 | 9.9,6 | 8.4 | 3.5,2.4 | 6 | 4.8,1.4 | 0.2 | 0.8 | 4.2,8.4 | 2,6.7,3.6 | 0.6,2.1 | 0.5,2 | 4 | 3.2,1.1 | 4.8 | 1.7,3.1 | 2.5 | 5.4 | 2.6,1.2 | 7,5.7,1.2 | 0,0.1 | 6.9,Weight Gain,South Indian,Cholesterol,Veg,2100
Day 1,2064 kcal,75.95 g,276.45 g,74.7 g,53.6 g,Upma,Wheat Roti | Grilled paneer | Lauki sabzi | Dahi | Carrot tomato salad,Wheat Roti | Chana lobia curry | Brown rice,Almonds | Cashew Nuts,Boiled kala chana,Apple | walnuts,Roasted chana,2 katori,3 roti | 1 serving | 1 katori | 0.5 katori | 1 katori,1 roti | 1 katori | 1 katori,6 almond | 6 Piece,1 katori,1 piece | 6 piece,1 katori,342,255 | 287 | 50 | 45 | 27,85 | 171 | 109,42 | 48,161,84,270,48.6,52.2 | 1.8 | 3.7 | 2.25 | 5.4,17.4 | 24.3 | 22.8,1.8 | 1.8,27.2,88 | 1.2,46,8.8,9 | 16.9 | 0.7 | 2.35 | 0.9,3 | 9 | 2.4,1.8 | 1.8,7.6,20 | 1.8,9.6,12.6,1.2 | 23.7 | 3.7 | 3 | 0.2,0.4 | 4.3 | 0.9,3.6 | 4.2,2.4,0.3 | 8.4,5.3,5,8.1 | 0.5 | 2.5 | 0 | 2.5,2.7 | 4.3 | 1,1.2 | 0,12.6,0.8 | 1.2,7.2,Weight Gain,North Indian,Diabetes,Veg,2100
